place_id,userid,travel_date,point
39,10423,2018.1.13 0:01,5
39,7626,2017.1.30 0:03,3
39,7237,2016.1.3 0:10,4
39,10833,2016.1.10 0:04,5
39,6345,2016.1.13 0:02,5
39,9842,2015.1.25 0:12,5
39,10971,2015.1.19 0:09,5
39,9690,2015.1.11 0:09,4
39,8588,2015.1.6 0:08,3
39,11374,2014.1.1 0:10,3
39,941,2013.1.7 0:04,4
39,8678,2017.1.8 0:04,5
39,4117,2016.1.25 0:05,4
55,9671,2022.1.1 0:09,4
55,1917,2020.1.21 0:10,5
55,7277,2020.1.3 0:09,5
55,10749,2020.1.27 0:04,5
55,9754,2020.1.17 0:04,5
55,2441,2020.1.10 0:04,5
55,9100,2020.1.31 0:03,5
55,7143,2020.1.13 0:03,5
55,4652,2020.1.20 0:02,5
55,4402,2020.1.19 0:02,4
55,11178,2020.1.15 0:02,5
55,8981,2020.1.11 0:02,5
55,10343,2020.1.9 0:02,5
55,10017,2020.1.2 0:02,5
55,8767,2020.1.22 0:01,5
55,2419,2020.1.18 0:01,5
55,11307,2020.1.17 0:01,5
55,7831,2020.1.7 0:01,4
55,5240,2019.1.21 0:12,5
55,290,2019.1.19 0:12,4
55,2493,2019.1.16 0:12,5
55,9747,2019.1.2 0:12,5
55,8063,2019.1.1 0:12,5
55,3806,2019.1.26 0:11,5
55,3062,2019.1.22 0:11,5
55,1948,2019.1.21 0:11,5
55,3035,2019.1.11 0:11,5
55,10104,2019.1.6 0:11,5
55,2195,2019.1.3 0:11,5
55,6036,2019.1.24 0:10,5
55,9438,2019.1.21 0:10,5
55,7012,2019.1.21 0:10,5
55,1087,2019.1.18 0:10,5
55,640,2019.1.7 0:10,5
55,11122,2019.1.5 0:10,5
55,8084,2019.1.5 0:10,5
55,7170,2019.1.27 0:09,5
55,8487,2019.1.21 0:09,4
55,9167,2019.1.17 0:09,5
55,10856,2019.1.16 0:09,5
55,6168,2019.1.2 0:09,4
55,4851,2019.1.10 0:08,4
55,509,2019.1.2 0:08,4
55,4868,2019.1.2 0:08,5
55,8928,2019.1.31 0:07,5
55,3269,2019.1.30 0:07,5
55,2420,2019.1.18 0:07,5
55,6711,2019.1.15 0:07,5
55,6065,2019.1.10 0:07,3
55,3514,2019.1.8 0:07,4
55,9794,2019.1.27 0:06,5
55,7929,2019.1.26 0:06,5
55,9222,2019.1.22 0:06,5
55,7280,2019.1.15 0:06,5
55,9565,2019.1.14 0:06,5
55,7293,2019.1.7 0:06,5
55,9410,2019.1.4 0:06,5
55,6927,2019.1.31 0:05,5
55,7311,2019.1.22 0:05,4
55,10830,2019.1.18 0:05,5
55,8302,2019.1.13 0:05,5
55,5044,2019.1.9 0:05,5
55,2606,2019.1.8 0:05,5
55,1545,2019.1.4 0:05,4
55,543,2019.1.25 0:04,5
55,10954,2019.1.23 0:04,5
55,2761,2019.1.14 0:04,5
55,10928,2019.1.13 0:04,5
55,2046,2019.1.12 0:04,4
55,6597,2019.1.7 0:04,4
55,3919,2019.1.5 0:04,5
55,1866,2019.1.31 0:03,5
55,1967,2019.1.24 0:03,5
55,3995,2019.1.24 0:03,5
55,9528,2019.1.23 0:03,5
55,2488,2019.1.19 0:03,4
55,6449,2019.1.12 0:03,5
55,151,2019.1.26 0:02,5
55,10127,2019.1.7 0:02,5
55,3004,2019.1.7 0:02,5
55,7090,2019.1.4 0:02,5
55,6465,2019.1.31 0:01,5
55,9980,2019.1.19 0:01,5
55,10005,2019.1.14 0:01,5
55,771,2019.1.11 0:01,5
55,5187,2018.1.30 0:12,5
55,9681,2018.1.27 0:12,5
55,8893,2018.1.26 0:12,5
55,5360,2018.1.17 0:12,5
55,11451,2018.1.8 0:12,5
55,4868,2018.1.11 0:11,5
55,4484,2018.1.1 0:11,5
55,7518,2018.1.1 0:11,5
55,2046,2018.1.28 0:10,4
55,6468,2018.1.28 0:10,5
55,7410,2018.1.20 0:10,5
55,2997,2018.1.19 0:10,5
55,7954,2018.1.16 0:10,5
55,4153,2018.1.15 0:10,5
55,6066,2018.1.12 0:10,5
55,8927,2018.1.11 0:10,5
55,1213,2018.1.11 0:10,5
55,7412,2018.1.11 0:10,4
55,10580,2018.1.3 0:10,5
55,4858,2018.1.2 0:10,2
55,7264,2018.1.2 0:10,5
